Config No.,Alarm events,Control events,Avg. alarm wait,Avg. control wait,Max alarm wait,Max control wait
9,0,51,0,5.67,0,10
9,0,31,0,3.74,0,10
9,2,11,1.0,3.91,1,10
9,0,13,0,2.54,0,7
9,0,10,0,1.6,0,3
9,0,9,0,1.89,0,5
9,0,2,0,1.5,0,2
9,0,22,0,2.14,0,6
9,0,21,0,2.33,0,9
9,2,30,3.0,2.73,3,6
9,0,7,0,4.14,0,10
9,0,4,0,1.75,0,3
9,0,14,0,2.07,0,6
9,0,19,0,2.47,0,7
9,0,14,0,2.07,0,4
9,0,13,0,1.54,0,4
9,0,11,0,1.82,0,4
9,0,10,0,3.0,0,6
9,0,14,0,2.14,0,4
9,0,25,0,3.76,0,9
9,0,31,0,3.65,0,10
9,0,45,0,3.38,0,10
9,0,47,0,4.06,0,10
9,0,46,0,4.0,0,9
9,0,51,0,4.35,0,10
9,0,57,0,4.3,0,10
9,0,69,0,4.96,0,10
9,0,71,0,5.37,0,10
9,0,33,0,4.27,0,10
9,0,9,0,2.56,0,7
9,0,16,0,1.62,0,4
9,0,8,0,1.5,0,3
9,0,18,0,2.22,0,4
9,0,30,0,3.53,0,9
9,0,21,0,3.33,0,8
9,0,19,0,2.53,0,7
9,0,6,0,1.67,0,3
9,0,9,0,1.67,0,3
9,2,4,2.0,1.0,2,1
9,0,8,0,2.12,0,5
9,0,19,0,1.37,0,4
9,0,20,0,2.95,0,6
9,0,13,0,2.31,0,5
9,0,8,0,2.75,0,8
